snapshot,CCGT,OCGT,coal,geothermal,oil,onwind,ror,solar,hydro
2013-02-04 10:00:00,6642.35994894135,168.95285274226796,25324.884399716357,2173.999765096901,69.7302330593263,14.137652271424198,2109.696559017259,16.117004542574744,1517.999694151958
2013-02-04 11:00:00,6702.992421143679,350.0847327046063,28687.5386990272,2173.999764971933,69.73022350502768,14.344380200642615,2109.696555420656,1.9422550699556276,1517.999695912251
2013-02-04 12:00:00,6703.390806786843,351.31429671568776,28711.338239942586,2173.999761269856,69.73021685459722,15.056536087705858,2109.6965487401253,0.004115808187551866,1517.9996906506576
2013-02-04 13:00:00,6690.863112641094,314.50794292048056,28017.508237289494,2173.999760683099,69.73021702111917,14.857788790342738,2109.696545523735,0.0,1517.999689254967
2013-02-04 14:00:00,6616.4911165144385,106.66679506130984,23958.477453990195,2173.999760178115,69.73022121389948,14.012264182284037,2109.696541066212,0.0,1517.9996893490363
2013-02-04 15:00:00,6604.203367381505,97.75242833254492,21106.966020398835,2173.9997589914856,69.73021622560701,12.955991480319575,2109.69654058641,0.0,1517.999689879898
2013-02-04 16:00:00,6604.203169380971,84.27429555623564,16776.614146769905,2173.9997543793143,69.73020725816595,11.488310040771864,2109.6965317599547,0.0,1517.9996881849597
2013-02-04 17:00:00,6604.203062315915,75.65874978344253,14008.152384880306,2173.999746496647,69.73020292491282,9.962701092163016,2109.6965210588023,0.0,1517.9996855510578
2013-02-04 18:00:00,6604.203036003063,74.22799797718365,13548.394374187003,2173.999744655948,69.73020330361744,8.29214557677775,2109.696519155527,0.0,1517.9996851131718
2013-02-04 19:00:00,6604.203088550599,77.03245821524283,14449.803619182308,2173.9997483543693,69.73020406033355,7.242854218879773,2109.6965234097675,0.0,1517.9996861381096
2013-02-04 20:00:00,6604.203109721613,77.26322831181493,14524.435734081137,2173.999749396996,69.73020529749877,5.892332673211035,2109.696524825974,0.0,1517.9996863375466
2013-02-04 21:00:00,6604.203192068492,84.54409090056795,16864.571914327582,2173.9997550786043,69.7302082014023,5.126283735505334,2109.69653131549,0.0,1517.9996881369868
2013-02-04 22:00:00,6604.2032918767545,94.93066332464038,20202.88563797132,2173.999758113046,69.73021532430229,5.804598464172594,2109.696537655365,0.205521,1517.9996889587696
